�1;un;rapace;12;22;22;ss;dd;ff;gg;hh;hh;hh;hh;hh;;;;;;
50;Accipitriformes;Accipitridae;441699;190128;441699;Espèce;"Buteo jamaicensis";"(Gmelin, 1788)";"Buteo jamaicensis (Gmelin, 1788)";"Buteo jamaicensis (Gmelin, 1788)";"Buse à queue rousse";"Red-tailed Hawk";Chordata;Aves;Animalia;;;;;
51;Accipitriformes;Accipitridae;813847;0;441699;Espèce;"Falco jamaicensis";"Gmelin, 1788";"Falco jamaicensis Gmelin, 1788";"Buteo jamaicensis (Gmelin, 1788)";"Buse à queue rousse";"Red-tailed Hawk";Chordata;Aves;Animalia;;;;;
52;Accipitriformes;Accipitridae;2630;190128;2630;Espèce;"Buteo lagopus";"(Pontoppidan, 1763)";"Buteo lagopus (Pontoppidan, 1763)";"Buteo lagopus (Pontoppidan, 1763)";"Buse pattue";"Rough-legged Buzzard";Chordata;Aves;Animalia;;;;;
53;Accipitriformes;Accipitridae;2632;0;2630;Espèce;"Falco lagopus";"Pontoppidan, 1763";"Falco lagopus Pontoppidan, 1763";"Buteo lagopus (Pontoppidan, 1763)";"Buse pattue";"Rough-legged Buzzard";Chordata;Aves;Animalia;;;;;
54;Accipitriformes;Accipitridae;441671;0;626245;Espèce;"Asturina nitida";"(Latham, 1790)";"Asturina nitida (Latham, 1790)";"Buteo nitidus (Latham, 1790)";"Buse cendrée";"Grey-lined Hawk, Gray-lined Hawk";Chordata;Aves;Animalia;;;;;
55;Accipitriformes;Accipitridae;626245;190128;626245;Espèce;"Buteo nitidus";"(Latham, 1790)";"Buteo nitidus (Latham, 1790)";"Buteo nitidus (Latham, 1790)";"Buse cendrée";"Grey-lined Hawk, Gray-lined Hawk";Chordata;Aves;Animalia;;;;;
56;Accipitriformes;Accipitridae;782522;0;626245;Espèce;"Falco nitidus";"Latham, 1790";"Falco nitidus Latham, 1790";"Buteo nitidus (Latham, 1790)";"Buse cendrée";"Grey-lined Hawk, Gray-lined Hawk";Chordata;Aves;Animalia;;;;;
57;Accipitriformes;Accipitridae;441701;190128;441701;Espèce;"Buteo platypterus";"(Vieillot, 1823)";"Buteo platypterus (Vieillot, 1823)";"Buteo platypterus (Vieillot, 1823)";"""Petite Buse """;"Broad-winged Hawk";Chordata;Aves;Animalia;;;;;
58;Accipitriformes;Accipitridae;416687;0;2627;Espèce;"Buteo ferox";"Gmelin, 1771";"Buteo ferox Gmelin, 1771";"Buteo rufinus (Cretzschmar, 1827)";"Buse féroce";;Chordata;Aves;Animalia;;;;;
59;Accipitriformes;Accipitridae;2627;190128;2627;Espèce;"Buteo rufinus";"(Cretzschmar, 1827)";"Buteo rufinus (Cretzschmar, 1827)";"Buteo rufinus (Cretzschmar, 1827)";"Buse féroce";;Chordata;Aves;Animalia;;;;;
60;Accipitriformes;Accipitridae;2629;0;2627;Espèce;"Falco rufinus";"Cretzschmar, 1827";"Falco rufinus Cretzschmar, 1827";"Buteo rufinus (Cretzschmar, 1827)";"Buse féroce";;Chordata;Aves;Animalia;;;;;
61;Accipitriformes;Accipitridae;779895;2627;779895;Sous-espèce;"Buteo rufinus cirtensis";"(Levaillant, 1850)";"Buteo rufinus cirtensis (Levaillant, 1850)";"Buteo rufinus cirtensis (Levaillant, 1850)";;;Chordata;Aves;Animalia;;;;;
62;Accipitriformes;Accipitridae;441766;440323;441766;Espèce;"Chondrohierax uncinatus";"(Temminck, 1822)";"Chondrohierax uncinatus (Temminck, 1822)";"Chondrohierax uncinatus (Temminck, 1822)";"Milan bec-en-croc, Bec-en-croc de Temminck";;Chordata;Aves;Animalia;;;;;
63;Accipitriformes;Accipitridae;2876;0;2873;Espèce;"Circaetus ferox";;"""Circaetus ferox """;"Circaetus gallicus (Gmelin, 1788)";"Circaète Jean-le-Blanc";"Short-toed Eagle";Chordata;Aves;Animalia;;;;;
64;Accipitriformes;Accipitridae;2873;190850;2873;Espèce;"Circaetus gallicus";"(Gmelin, 1788)";"Circaetus gallicus (Gmelin, 1788)";"Circaetus gallicus (Gmelin, 1788)";"Circaète Jean-le-Blanc";"Short-toed Eagle";Chordata;Aves;Animalia;;;;;
65;Accipitriformes;Accipitridae;2875;0;2873;Espèce;"Falco gallicus";"Gmelin, 1788";"Falco gallicus Gmelin, 1788";"Circaetus gallicus (Gmelin, 1788)";"Circaète Jean-le-Blanc";"Short-toed Eagle";Chordata;Aves;Animalia;;;;;
66;Accipitriformes;Accipitridae;2878;190851;2878;Espèce;"Circus aeruginosus";"(Linnaeus, 1758)";"Circus aeruginosus (Linnaeus, 1758)";"Circus aeruginosus (Linnaeus, 1758)";"Busard des roseaux";"Eurasian Marsh Harrier";Chordata;Aves;Animalia;;;;;
67;Accipitriformes;Accipitridae;2880;0;2878;Espèce;"Falco aeruginosus";"Linnaeus, 1758";"Falco aeruginosus Linnaeus, 1758";"Circus aeruginosus (Linnaeus, 1758)";"Busard des roseaux";"Eurasian Marsh Harrier";Chordata;Aves;Animalia;;;;;
68;Accipitriformes;Accipitridae;532382;0;432707;Sous-espèce;"Circus approximans approximans";;"""Circus approximans approximans """;"Circus approximans Peale, 1848";"Busard de Gould";"Swamp Harrier";Chordata;Aves;Animalia;;;;;
69;Accipitriformes;Accipitridae;432707;190851;432707;Espèce;"Circus approximans";"Peale, 1848";"Circus approximans Peale, 1848";"Circus approximans Peale, 1848";"Busard de Gould";"Swamp Harrier";Chordata;Aves;Animalia;;;;;
70;Accipitriformes;Accipitridae;441775;190851;441775;Espèce;"Circus buffoni";"(Gmelin, 1788)";"Circus buffoni (Gmelin, 1788)";"Circus buffoni (Gmelin, 1788)";"""Busard de Buffon """;;Chordata;Aves;Animalia;;;;;
71;Accipitriformes;Accipitridae;2881;190851;2881;Espèce;"Circus cyaneus";"(Linnaeus, 1758)";"Circus cyaneus (Linnaeus, 1758)";"Circus cyaneus (Linnaeus, 1758)";"Busard Saint-Martin";"Hen Harrier";Chordata;Aves;Animalia;;;;;
72;Accipitriformes;Accipitridae;2883;0;2881;Espèce;"Falco cyaneus";"Linnaeus, 1766";"Falco cyaneus Linnaeus, 1766";"Circus cyaneus (Linnaeus, 1758)";"Busard Saint-Martin";"Hen Harrier";Chordata;Aves;Animalia;;;;;
